ano,periodoOuMes,Centro,Faculdade/ Escola,curso,nivel,QTD
(null),(null),,,Administração,Mestrado,1
(null),(null),,,Artes Visuais,Doutorado,1
(null),(null),,,Ciências Biológicas (Genética),Doutorado,1
(null),(null),,,Ciências Biológicas (Genética),Mestrado,1
(null),(null),,,Clínica Médica,Doutorado,3
(null),(null),,,Ecologia,Doutorado,1
(null),(null),,,Engenharia Mecatrônica,Especialização,1
(null),(null),,,Geografia,Doutorado,1
(null),(null),,,Gestão e Gerenciamento de Projetos,Especialização,1
(null),(null),,,Gestão Internacional,Especialização,25
(null),(null),,,Historia,Doutorado,1
(null),(null),,,História,Mestrado,2
(null),(null),,,MBA em Engenharia de Software,Especialização,16
(null),(null),,,Medicina (Doenças Infecciosas e Parasitárias),Mestrado,1
(null),(null),,,Medicina (Radiologia),Doutorado,1
(null),(null),,,Medicina - Cirurgia Geral ,Doutorado,1
(null),(null),,,Medicina - Cirurgia Geral ,Mestrado,1
(null),(null),,,Medicina-Ortopedia e Traumatologia ,Mestrado,1
(null),(null),,,Oftalmologia,Especialização,1
(null),(null),,,Otorrinolaringologia         ,Mestrado,1
(null),(null),,,Tecnologia de Processos Químic e Bioquímicos,Doutorado,2
(null),(null),,,Tecnologia de Processos Químic e Bioquímicos,Mestrado,8
1957,Set,,,Educação,Mestrado,1
1964,Abr,,,Engenharia Química,Doutorado,2
1966,Jun,,,Engenharia Química,Doutorado,1
1967,Dez,,,Engenharia Elétrica,Doutorado,1
1968,Abr,,,Engenharia Química,Doutorado,1
1968,Jan,,,Engenharia de Sistemas e Computação,Doutorado,1
1968,Mai,,,Engenharia de Sistemas e Computação,Doutorado,1
1968,Set,,,Engenharia Civil,Doutorado,1
1969,Dez,,,Engenharia Metalúrgica e de Materiais,Doutorado,1
1969,Jan,,,Engenharia Civil,Doutorado,1
1969,Nov,,,Engenharia Mecânica,Doutorado,1
1973,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1970,Ago,,,Engenharia Civil,Doutorado,1
1970,Dez,,,Engenharia Elétrica,Mestrado,1
1970,Fev,,,Engenharia Mecânica,Mestrado,1
1970,Fev,,,Matemática,Doutorado,1
1970,Jan,,,Engenharia Civil,Mestrado,1
