ano,periodo,Centro,Faculdade/ Escola,curso,nivel,QTD-ingressante
1954,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1966,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1967,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1968,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,5
1968,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1969,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,11
1969,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1970,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,9
1970,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,5
1971,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,50
1971,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,63
1972,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,57
1972,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,49
1973,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,68
1951,1,,,Engenharia de Produção,Mestrado,1
1951,1,,,Engenharia de Sistemas e Computação,Mestrado,1
1973,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,86
1974,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,62
1974,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,52
1952,1,,,Engenharia de Produção,Mestrado,1
1975,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,81
1975,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,79
1976,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,80
1976,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,83
1977,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,78
1953,1,,,Licenciatura em Desenho e Plástica,Doutorado,1
1977,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,76
1978,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
1978,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,71
1979,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,76
1979,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,82
1980,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
1980,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,77
1981,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,98
1981,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,77
1982,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,99
1982,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,93
1956,1,,,Engenharia Civil,Mestrado,1
1983,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,94
1983,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,78
1984,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,86
1957,1,,,Licenciatura em Desenho e Plástica,Doutorado,1
1984,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,70
1985,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,82
1985,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,68
1985,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1986,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,89
1986,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,73
