ano,periodo,Centro,Faculdade / Escola,curso,nivel,QTD-matriculados
1949,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1950,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1951,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1952,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1957,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1964,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1965,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1966,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1966,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1967,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,3
1967,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,3
1968,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,5
1968,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,3
1969,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1969,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,19
1969,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,18
1969,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1970,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,3
1970,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,19
1970,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,21
1970,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1971,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,6
1971,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,83
1971,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,136
1971,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1972,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,4
1972,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,188
1972,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,237
1972,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1973,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,21
1973,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,295
1973,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,385
1973,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,32
1974,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,16
1974,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,444
1974,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,462
1974,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,66
1975,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,123
1975,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,495
1975,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,511
1975,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1976,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,78
1976,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,546
1976,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,612
1976,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,45
1977,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,154
1977,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,546
1977,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,600
1978,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,147
1978,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,621
1978,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,627
1978,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1979,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,104
1979,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,642
1979,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,632
1979,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,29
1980,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,93
1980,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,636
1980,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,662
1980,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,51
1981,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,124
1981,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,670
1981,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,688
1981,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,59
1982,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,163
1982,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,729
1982,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,669
1982,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,63
1983,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,121
1983,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,686
1983,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,705
1983,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,20
1984,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,108
1984,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,718
1984,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,709
1985,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,73
1985,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,741
1985,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,615
1985,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,41
1986,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,140
1986,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,627
1986,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,632
1986,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,39
1987,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,145
1987,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,616
1987,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,623
1987,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1988,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,136
1988,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,626
1988,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,629
1988,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,17
1989,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,123
1989,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,654
1989,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,662
1989,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1989,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,55
1990,0,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,134
1990,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,655
1990,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1990,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,680
1990,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1990,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,38
