Cargo,Unidade,Classe,Total,CH_20,CH_40,CH_De,Ti_G,Ti_PG,Ti_M,Ti_D,Ti_PD,Fu_FG,Fu_FCC,Fu_CD,Fu_Sem,Gasto anual com docentes do Magistério Superior em 2019
Reitoria                                                    ,Reitoria                                                    ,5,1,0,0,1,0,0,1,0,0,0,0,0,1,268593.93
Reitoria                                                    ,Reitoria                                                    ,7,3,0,0,3,0,0,0,3,0,0,0,3,0,1129294.35
Reitoria                                                    ,Reitoria                                                    ,8,5,0,0,5,0,0,0,5,0,0,0,5,0,1881956.41
Reitoria                                                    ,Reitoria                                                    ,6,6,0,2,4,0,0,0,6,0,1,0,3,2,803795.62
Superintendência Geral de Graduação e Corpo Discente        ,Superintendência Geral de Graduação e Corpo Discente        ,7,5,0,0,5,0,0,0,5,0,0,3,2,0,1017140.24
Superintendência Geral de Graduação e Corpo Discente        ,Superintendência Geral de Graduação e Corpo Discente        ,8,2,0,0,2,0,0,0,2,0,0,1,1,0,399725.8
Superintendência Geral para Graduados e Pesquisa            ,Superintendência Geral para Graduados e Pesquisa            ,6,1,0,0,1,0,0,0,1,0,0,0,1,0,318794.23
Superintendência Geral para Graduados e Pesquisa            ,Superintendência Geral para Graduados e Pesquisa            ,7,3,0,0,3,0,0,0,3,0,1,0,2,0,592396.67
Superintendência Geral de Planejamento e Desenvolvimento,Superintendência Geral de Planejamento e Desenvolvimento,7,1,0,0,1,0,0,0,1,0,0,0,1,0,145077.04
PR-5 Pró-Reitoria de Extensão,PR-5 Pró-Reitoria de Extensão,8,1,0,0,1,0,0,0,1,0,1,0,0,0,276702.76
PR-5 Pró-Reitoria de Extensão,PR-5 Pró-Reitoria de Extensão,7,1,0,0,1,0,0,0,1,0,0,0,1,0,376709.2
Escritório Técnico da Universidade,Escritório Técnico da Universidade,7,1,0,0,1,0,0,0,1,0,0,0,1,0,28886.59
Campus de Macaé,Campus de Macaé,8,3,0,0,3,0,0,0,3,0,0,0,0,3,937265.28
Campus de Macaé,Campus de Macaé,6,128,5,0,123,0,0,1,127,0,0,13,1,114,21986937.36
Campus de Macaé,Campus de Macaé,5,28,11,1,16,0,1,27,0,0,0,0,0,28,2742860.76
Campus de Macaé,Campus de Macaé,4,77,29,1,47,6,8,44,19,0,0,1,0,76,8441159.45
Campus de Macaé,Campus de Macaé,7,37,0,0,37,0,0,0,37,0,1,5,0,31,8469521.18
Campus de Xerém,Campus de Xerém,6,35,0,0,35,0,0,0,35,0,0,3,0,32,6007599.26
Campus de Xerém,Campus de Xerém,7,11,2,0,9,0,0,0,11,0,0,0,1,10,2479766.89
Campus de Xerém,Campus de Xerém,4,13,0,0,13,0,0,0,13,0,0,1,0,12,2373505.35
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,6,4,1,2,1,0,0,0,4,0,0,0,1,3,697289.85
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,4,1,0,1,0,0,0,0,1,0,0,0,0,1,90559.89
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,7,7,1,5,1,0,0,0,7,0,0,0,0,7,1414088.74
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,5,3,0,3,0,0,0,3,0,0,1,0,0,2,289544.78
Hospital Universitário Clementino Fraga/CCS                 ,Hospital Universitário Clementino Fraga/CCS                 ,8,3,0,1,2,0,0,0,3,0,0,0,0,3,902229.45
Superintendência de Tecnologia da Informação,Superintendência de Tecnologia da Informação,8,1,0,0,1,0,0,0,1,0,0,0,1,0,176739.65
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,5,3,0,1,2,0,0,3,0,0,0,0,0,3,246199.21
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,8,2,0,0,2,0,0,0,2,0,0,0,0,2,905174.02
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,6,19,0,1,18,0,0,0,19,0,0,0,0,19,2730914.05
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,4,3,1,0,2,0,2,0,1,0,0,0,0,3,145160.83
PR-4 Pró-Reitoria de Pessoal,PR-4 Pró-Reitoria de Pessoal,7,9,1,0,8,0,0,0,9,0,0,0,0,9,2561136
PR-6 Pró-Reitoria de Gestão e Governança,PR-6 Pró-Reitoria de Gestão e Governança,4,1,1,0,0,0,1,0,0,0,0,0,0,1,45918.78
Centro de Ciências Matemáticas e da Natureza                ,Centro de Ciências Matemáticas e da Natureza                ,8,4,0,0,4,0,0,0,4,0,0,2,1,1,1309255.97
Centro de Ciências Matemáticas e da Natureza                ,Centro de Ciências Matemáticas e da Natureza                ,6,2,0,1,1,0,0,0,2,0,0,1,0,1,793115.83
Centro de Ciências Matemáticas e da Natureza                ,Centro de Ciências Matemáticas e da Natureza                ,7,5,0,0,5,0,0,0,5,0,0,5,0,0,1037250.83
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,7,59,2,0,57,0,0,0,59,0,1,5,0,53,14340239.22
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,6,40,2,0,38,0,0,1,39,0,1,3,0,36,7503181.33
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Matemática                                     ,5,3,2,0,1,0,0,3,0,0,0,0,0,3,215804.68
