ano,periodo,cursoNome,cursoCodigo,turno,polo,ingressantes,cancelados
1938,1,Direito,3401010000,Tarde,Faculdade de Direito,1,0
1945,1,Direito,3401010000,Tarde,Faculdade de Direito,1,0
1945,1,Lic em Musica-Instrumento: Piano,3304020100,Integral,Praia Vermelha,1,0
1945,1,Licenciatura (Complementacao Pedagogica),3304019800,,,1,0
1947,1,Direito,3401010000,Tarde,Faculdade de Direito,1,0
1947,1,Medicina,3501010000,Integral,Cidade Universitária,1,0
1949,1,Bac em Letras: Português-Italiano,3204011100,Integral,Cidade Universitária,1,0
1949,1,Ciências Econômicas,3406019900,Integral,Praia Vermelha,1,0
1949,1,Matemática,3101010100,Integral,Cidade Universitária,1,0
1950,1,Ciências Sociais,3301010100,Integral,LARGO SÃO FRANCISCO,1,0
1950,1,Engenharia (Básico),3601010000,Integral,Cidade Universitária,1,0
1951,1,Ciências Econômicas,3406019900,Integral,Praia Vermelha,1,0
1951,1,Direito,3401010000,Tarde,Faculdade de Direito,1,0
1951,1,Engenharia Civil,3601010100,Integral,Cidade Universitária,1,0
1951,1,Pedagogia - Hab. Mag. em Mat. Pedag. do 2 Gr,3304010400,Integral,Praia Vermelha,1,0
1951,1,Pintura,3202020000,Integral,Cidade Universitária,1,0
1952,1,Arquitetura e Urbanismo,3201010000,Integral,Praia Vermelha,1,0
1952,1,Pintura,3202020000,Integral,Cidade Universitária,1,0
1953,1,Artes Cênicas - Cenografia,3202050200,Integral,Cidade Universitária,1,0
1953,1,Bac em Letras: Português-Lit. de Língua Port.,3204010100,Integral,Cidade Universitária,1,0
1953,1,Composição Paisagística,3202040000,Integral,Cidade Universitária,1,0
1953,1,Direito,3401010000,Tarde,Faculdade de Direito,2,0
1953,1,Pintura,3202020000,Integral,Cidade Universitária,1,0
1954,1,Administracao,3407019900,Noite,Praia Vermelha,1,0
1954,1,Arquitetura e Urbanismo,3201010000,Integral,Cidade Universitária,2,0
1954,1,Direito,3401010000,Tarde,Faculdade de Direito,1,0
1954,1,Pintura,3202020000,Integral,Cidade Universitária,3,0
1955,1,Arquitetura e Urbanismo,3201010000,,,0,1
1955,1,Arquitetura e Urbanismo,3201010000,Integral,Cidade Universitária,1,0
1955,1,Comunicação Social - Jornalismo,3303010100,Integral,Praia Vermelha,1,0
1955,1,Direito,3401010000,Tarde,Faculdade de Direito,2,0
1955,1,Música - Violino,3203010200,Integral,Escola de Música,1,0
1956,1,Arquitetura e Urbanismo,3201010000,Integral,Cidade Universitária,1,0
1956,1,Direito,3401010000,Tarde,Faculdade de Direito,2,0
1956,1,Música - Canto,3203010300,Integral,Escola de Música,1,0
1956,1,Serviço Social,3306010000,Integral,Praia Vermelha,1,0
1956,2,Engenharia Mecânica,3601010400,Integral,Cidade Universitária,1,0
1957,1,Pintura,3202020000,Integral,Cidade Universitária,1,1
1957,1,Serviço Social,3306010000,Integral,Praia Vermelha,1,0
1958,1,Composição de Interior,3202060000,Integral,Cidade Universitária,1,0
1958,1,Comunicação Social (Básico),3303010000,Integral,Praia Vermelha,1,0
1958,1,Licenciatura em Desenho e Plástica,3202980300,,,1,0
1958,1,Pintura,3202020000,Integral,Cidade Universitária,1,0
1959,1,Direito,3401010000,Tarde,Faculdade de Direito,1,0
1959,1,Engenharia Mecânica,3601010400,Integral,Cidade Universitária,1,0
1959,1,Licenciatura em Física,3103010200,Noite,Cidade Universitária,1,0
1959,1,Matemática,3101010100,Integral,Cidade Universitária,1,0
1959,1,Pintura,3202020000,Integral,Cidade Universitária,1,0
1960,1,Comunicacao Visual,3202089800,,,1,0
1960,1,Engenharia Eletrica: Enfase em Eletrotecnica,3601010200,Integral,Cidade Universitária,1,0
1960,1,Física,3103010100,Integral,Cidade Universitária,3,0
1960,1,Matemática,3101010100,Integral,Cidade Universitária,1,0
1960,1,Música - Piano,3203010100,Integral,Escola de Música,1,0
1960,1,Pintura,3202020000,Integral,Cidade Universitária,0,1
1961,1,Ciências Sociais,3301010100,Integral,LARGO SÃO FRANCISCO,1,0
1961,1,Composição de Interior,3202060000,Integral,Cidade Universitária,2,0
1961,1,Comunicacao Visual,3202089800,Integral,Cidade Universitária,1,0
1961,1,Direito,3401010000,Tarde,Faculdade de Direito,2,0
1961,1,Gravura,3202010000,Integral,Cidade Universitária,1,0
1961,1,Música - Piano,3203010100,Integral,Escola de Música,1,0
1961,1,Pintura,3202020000,Integral,Cidade Universitária,1,1
1961,2,Pintura,3202020000,Integral,Cidade Universitária,1,0
1962,1,Composição de Interior,3202060000,Integral,Cidade Universitária,1,0
1962,1,Direito,3401010000,Tarde,Faculdade de Direito,2,0
1962,1,Engenharia de Produção,3601010700,Integral,Cidade Universitária,1,0
1962,1,Medicina,3501010000,Integral,Cidade Universitária,1,0
1962,1,Música - Piano,3203010100,Integral,Escola de Música,1,0
1962,1,Pintura,3202020000,Integral,Cidade Universitária,2,0
1962,2,Fisico Tecnologo,3103019800,,,1,0
1962,2,Serviço Social,3306010000,Integral,Praia Vermelha,1,0
1963,1,Bac em Letras: Português-Lit. de Língua Port.,3204010100,Integral,Cidade Universitária,2,0
1963,1,Ciências Econômicas,3406019900,Integral,Praia Vermelha,1,0
1963,1,Comunicação Social - Jornalismo,3303010100,Integral,Praia Vermelha,1,0
1963,1,Comunicacao Visual,3202089800,,,1,0
1963,1,Comunicacao Visual,3202089800,Integral,Cidade Universitária,1,0
1963,1,Direito,3401010000,Tarde,Faculdade de Direito,3,0
1963,1,Engenharia Civil,3601010100,Integral,Cidade Universitária,2,0
1963,1,Engenharia Eletrica: Enfase em Eletrotecnica,3601010200,Integral,Cidade Universitária,2,0
1963,1,Filosofia,3301020100,Integral,LARGO SÃO FRANCISCO,1,0
1963,1,Pintura,3202020000,Integral,Cidade Universitária,0,1
1963,1,Serviço Social,3306010000,,,1,0
1963,1,Serviço Social,3306010000,Integral,Praia Vermelha,1,0
1964,1,Arquitetura e Urbanismo,3201010000,Integral,Cidade Universitária,1,0
1964,1,Ciências Econômicas,3406019900,Integral,Praia Vermelha,1,0
1964,1,Comunicacao Visual,3202089800,Integral,Cidade Universitária,1,0
1964,1,Direito,3401010000,Tarde,Faculdade de Direito,8,0
1964,1,Engenharia (Básico),3601010000,Integral,Cidade Universitária,1,0
1964,1,Engenharia Civil,3601010100,Integral,Cidade Universitária,2,0
1964,1,Engenharia Eletrica: Enfase em Eletrotecnica,3601010200,Integral,Cidade Universitária,2,0
1964,1,Engenharia Mecânica,3601010400,Integral,Cidade Universitária,1,0
1964,1,Engenharia Química,3602010100,Integral,Cidade Universitária,1,0
1964,1,Farmácia - Farmacêutico,3503010000,Integral,Cidade Universitária,1,0
1964,1,Licenciatura em Física,3103010200,Integral,Cidade Universitária,1,0
1964,1,Licenciatura em Química,3104010200,Noite,Cidade Universitária,1,0
1964,1,Matemática,3101010100,Integral,Cidade Universitária,1,0
1964,1,Pintura,3202020000,Integral,Cidade Universitária,2,1
1964,1,Pintura,3202020000,Integral,LARGO SÃO FRANCISCO,1,0
1964,2,Arquitetura e Urbanismo,3201010000,Integral,Cidade Universitária,1,0
1964,2,Direito,3401010000,Tarde,Faculdade de Direito,1,0
1964,2,Engenharia Mecânica,3601010400,Integral,Cidade Universitária,1,0
1964,2,Pintura,3202020000,Integral,Cidade Universitária,1,0
1965,1,Bac em Letras: Português-Lit. de Língua Port.,3204010100,Integral,Cidade Universitária,1,0
1965,1,Ciências Econômicas,3406019900,Integral,Praia Vermelha,2,0
1965,1,Ciências Sociais,3301010100,Integral,LARGO SÃO FRANCISCO,1,1
1965,1,Comunicacao Visual,3202089800,,,0,1
1965,1,Comunicacao Visual,3202089800,Integral,Cidade Universitária,3,0
1965,1,Direito,3401010000,Tarde,Faculdade de Direito,6,0
1965,1,Engenharia Mecânica,3601010400,Integral,Cidade Universitária,2,0
1965,1,Engenharia Naval,3601010600,Integral,Cidade Universitária,1,0
1965,1,Física,3103010100,Integral,Cidade Universitária,2,0
1965,1,Formação de Psicólogo,3302010200,Integral,Praia Vermelha,1,0
1965,1,Gravura,3202010000,Integral,Cidade Universitária,1,0
1965,1,Medicina,3501010000,Integral,Cidade Universitária,1,0
1965,1,Música - Canto,3203010300,Integral,Escola de Música,1,0
1965,1,Pedagogia - Hab. Mag. em Mat. Pedag. do 2 Gr,3304010400,,,1,0
1965,1,Pintura,3202020000,Integral,Cidade Universitária,2,0
1965,1,Serviço Social,3306010000,Integral,Praia Vermelha,1,0
1965,2,Engenharia Civil,3601010100,Integral,Cidade Universitária,2,0
1966,1,Administracao,3407019900,Noite,Praia Vermelha,1,0
