CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,121706,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,Graduação Presencial,Pólo de xerém,148,48,115,47,26,8,21,4,0
2015,Capital,121706,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,Graduação Presencial,Pólo de xerém,118,43,91,14,28,10,17,0,0
2016,Capital,121706,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,Graduação Presencial,Pólo de xerém,122,31,88,21,30,23,11,0,0
2017,Capital,121706,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,Graduação Presencial,Pólo de xerém,130,40,95,9,29,16,18,1,0
2018,Capital,121706,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,Graduação Presencial,Pólo de xerém,136,41,96,8,25,17,21,2,0
2014,Capital,1114291,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,64,28,54,21,19,5,5,0,0
2015,Capital,1114291,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,80,21,57,8,20,13,9,1,0
2016,Capital,1114291,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,81,21,60,10,16,11,9,1,0
2017,Capital,1114291,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,87,34,62,17,20,12,12,1,0
2018,Capital,1114291,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,88,32,67,16,21,10,8,3,0
2014,Capital,1114292,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,385,138,315,21,102,23,42,5,0
2015,Capital,1114292,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,424,121,327,29,100,50,45,2,0
2016,Capital,1114292,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,399,59,296,31,47,62,39,2,0
2017,Capital,1114292,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,430,124,340,58,101,45,45,0,0
2018,Capital,1114292,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,Graduação Presencial,Pólo de xerém,428,135,338,29,100,45,40,5,0
