   ,  ,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,14363,DIREITO,Bacharelado,Graduação Presencial,FACULDADE DE DIREITO,2.927,534,2.651,396,514,151,125,0,0
2015,Capital,14363,DIREITO,Bacharelado,Graduação Presencial,FACULDADE DE DIREITO,2.964,528,2.665,409,528,198,99,2,0
2016,Capital,14363,DIREITO,Bacharelado,Graduação Presencial,FACULDADE DE DIREITO,2.950,515,2.550,406,495,266,133,0,1
2017,Capital,14363,DIREITO,Bacharelado,Graduação Presencial,FACULDADE DE DIREITO,2.984,536,2.682,408,538,177,124,1,0
2018,Capital,14363,DIREITO,Bacharelado,Graduação Presencial,FACULDADE DE DIREITO,3.010,593,2.693,360,553,194,123,0,0
2014,Capital,14364,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,998,247,829,198,193,64,101,4,0
2015,Capital,14364,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,969,214,794,153,189,122,52,1,0
2016,Capital,14364,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.005,187,765,124,173,161,77,2,0
2017,Capital,14364,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.039,233,805,57,196,137,95,2,0
2018,Capital,14364,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.099,241,886,134,199,99,112,2,0
2014,Capital,14365,ADMINISTRAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,947,197,804,140,192,40,103,0,0
2015,Capital,14365,ADMINISTRAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,917,190,752,104,183,105,60,0,0
2016,Capital,14365,ADMINISTRAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,931,168,717,123,168,152,59,3,0
2017,Capital,14365,ADMINISTRAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,928,191,745,93,173,122,61,0,0
2018,Capital,14365,ADMINISTRAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,962,207,761,105,179,104,97,0,0
2014,Capital,14366,CIÊNCIAS ECONÔMICAS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.089,292,920,70,227,68,98,3,0
2015,Capital,14366,CIÊNCIAS ECONÔMICAS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.143,235,940,94,217,131,70,2,0
2016,Capital,14366,CIÊNCIAS ECONÔMICAS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.184,217,940,78,205,166,76,2,0
2017,Capital,14366,CIÊNCIAS ECONÔMICAS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.244,253,1.031,127,209,122,88,3,0
2018,Capital,14366,CIÊNCIAS ECONÔMICAS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.248,274,1.017,156,219,75,154,2,0
2014,Capital,99321,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,192,54,166,48,43,12,13,1,0
2015,Capital,99321,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,169,48,128,27,39,33,6,2,0
2016,Capital,99321,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,173,44,123,22,39,33,17,0,0
2017,Capital,99321,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,177,48,121,20,40,31,24,1,0
2018,Capital,99321,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,173,62,114,15,41,27,31,1,0
2014,Capital,1125881,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,Cidade Universitária,243,66,218,5,57,10,15,0,0
2015,Capital,1125881,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,Cidade Universitária,284,65,247,14,58,21,16,0,0
2016,Capital,1125881,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação Presencial,Cidade Universitária,306,50,246,23,51,46,14,0,0
