CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,14323,FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,178,72,123,11,50,20,29,6,0
2015,Capital,14323,FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,184,53,133,17,46,21,26,4,0
2016,Capital,14323,FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,184,48,121,16,47,35,23,5,0
2017,Capital,14323,FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,192,57,132,10,50,31,14,15,0
2018,Capital,14323,FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,196,46,133,19,43,25,32,6,0
2014,Capital,14324,ASTRONOMIA,Bacharelado,Graduação Presencial,OBSERVATÓRIO DO VALONGO,88,31,70,4,17,4,13,1,0
2015,Capital,14324,ASTRONOMIA,Bacharelado,Graduação Presencial,OBSERVATÓRIO DO VALONGO,96,37,69,5,20,10,12,5,0
2016,Capital,14324,ASTRONOMIA,Bacharelado,Graduação Presencial,OBSERVATÓRIO DO VALONGO,95,25,62,3,21,22,9,2,0
2017,Capital,14324,ASTRONOMIA,Bacharelado,Graduação Presencial,OBSERVATÓRIO DO VALONGO,109,44,72,8,26,15,17,5,0
2018,Capital,14324,ASTRONOMIA,Bacharelado,Graduação Presencial,OBSERVATÓRIO DO VALONGO,105,43,81,6,25,13,10,1,0
2014,Capital,14325,METEOROLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,197,59,139,3,49,20,33,5,0
2015,Capital,14325,METEOROLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,206,44,152,4,45,29,24,1,0
2016,Capital,14325,METEOROLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,222,55,152,8,43,44,24,2,0
2017,Capital,14325,METEOROLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,234,77,166,14,43,35,31,2,0
