CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,14359,MEDICINA,Bacharelado,Graduação Presencial,Cidade Universitária,1283,207,1245,188,204,16,22,0,0
2015,Capital,14359,MEDICINA,Bacharelado,Graduação Presencial,Cidade Universitária,1290,205,1239,173,210,37,14,0,0
2016,Capital,14359,MEDICINA,Bacharelado,Graduação Presencial,Cidade Universitária,1303,213,1252,161,197,34,17,0,0
2017,Capital,14359,MEDICINA,Bacharelado,Graduação Presencial,Cidade Universitária,1342,206,1282,187,209,44,16,0,0
2018,Capital,14359,MEDICINA,Bacharelado,Graduação Presencial,Cidade Universitária,1360,217,1302,198,221,44,14,0,0
2014,Capital,14360,NUTRIÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,442,113,379,53,98,28,34,1,0
2015,Capital,14360,NUTRIÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,454,109,357,62,94,67,30,0,0
2016,Capital,14360,NUTRIÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,454,96,341,67,91,84,28,1,0
2017,Capital,14360,NUTRIÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,467,106,401,62,103,40,25,1,0
2018,Capital,14360,NUTRIÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,485,105,412,56,105,44,29,0,0
2014,Capital,14361,ODONTOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,389,96,339,49,93,22,27,1,0
2015,Capital,14361,ODONTOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,402,95,345,73,85,47,10,0,0
2016,Capital,14361,ODONTOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,407,86,343,51,87,32,31,1,0
2017,Capital,14361,ODONTOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,416,92,369,52,88,27,20,0,0
2018,Capital,14361,ODONTOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,435,97,377,54,89,27,28,3,0
2014,Capital,14369,FARMÁCIA,Bacharelado,Graduação Presencial,Cidade Universitária,1479,403,1204,90,323,96,176,3,0
2015,Capital,14369,FARMÁCIA,Bacharelado,Graduação Presencial,Cidade Universitária,1569,359,1293,97,318,168,104,4,0
2016,Capital,14369,FARMÁCIA,Bacharelado,Graduação Presencial,Cidade Universitária,1662,337,1299,121,298,238,122,3,0
2017,Capital,14369,FARMÁCIA,Bacharelado,Graduação Presencial,Cidade Universitária,1750,371,1450,140,316,185,114,1,0
2018,Capital,14369,FARMÁCIA,Bacharelado,Graduação Presencial,Cidade Universitária,1821,424,1496,134,332,148,175,2,0
2014,Capital,14372,DANÇA,Bacharelado,Graduação Presencial,Cidade Universitária,241,45,165,19,27,36,38,2,0
2015,Capital,14372,DANÇA,Bacharelado,Graduação Presencial,Cidade Universitária,224,56,150,9,33,56,18,0,0
2016,Capital,14372,DANÇA,Bacharelado,Graduação Presencial,Cidade Universitária,234,46,154,11,32,50,28,2,0
2017,Capital,14372,DANÇA,Bacharelado,Graduação Presencial,Cidade Universitária,235,68,175,22,37,44,15,1,0
2018,Capital,14372,DANÇA,Bacharelado,Graduação Presencial,Cidade Universitária,228,70,165,15,28,35,26,2,0
2014,Capital,14373,FISIOTERAPIA,Bacharelado,Graduação Presencial,Cidade Universitária,415,108,361,67,99,25,29,0,0
2015,Capital,14373,FISIOTERAPIA,Bacharelado,Graduação Presencial,Cidade Universitária,415,101,350,62,94,40,23,2,0
2016,Capital,14373,FISIOTERAPIA,Bacharelado,Graduação Presencial,Cidade Universitária,417,88,352,68,86,32,33,0,0
2017,Capital,14373,FISIOTERAPIA,Bacharelado,Graduação Presencial,Cidade Universitária,410,88,353,68,89,26,30,1,0
2018,Capital,14373,FISIOTERAPIA,Bacharelado,Graduação Presencial,Cidade Universitária,403,109,344,17,91,27,29,3,0
2014,Capital,14376,FONOAUDIOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,412,97,351,48,92,29,28,4,0
2015,Capital,14376,FONOAUDIOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,424,104,356,66,90,51,17,0,0
2016,Capital,14376,FONOAUDIOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,427,91,343,59,86,48,36,0,0
2017,Capital,14376,FONOAUDIOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,424,96,359,53,89,35,30,0,0
2018,Capital,14376,FONOAUDIOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,434,114,375,65,92,31,28,0,0
2014,Capital,23976,CIÊNCIAS BIOLÓGICAS - BIOLOGIA MARINHA,Bacharelado,Graduação Presencial,Cidade Universitária,37,7,26,4,5,6,4,1,0
2015,Capital,23976,CIÊNCIAS BIOLÓGICAS - BIOLOGIA MARINHA,Bacharelado,Graduação Presencial,Cidade Universitária,37,0,26,7,0,6,5,0,0
2016,Capital,23976,CIÊNCIAS BIOLÓGICAS - BIOLOGIA MARINHA,Bacharelado,Graduação Presencial,Cidade Universitária,32,5,24,9,1,6,2,0,0
2017,Capital,23976,CIÊNCIAS BIOLÓGICAS - BIOLOGIA MARINHA,Bacharelado,Graduação Presencial,Cidade Universitária,34,4,27,8,4,3,4,0,0
2018,Capital,23976,CIÊNCIAS BIOLÓGICAS - BIOLOGIA MARINHA,Bacharelado,Graduação Presencial,Cidade Universitária,29,1,22,7,0,6,1,0,0
2014,Capital,26611,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Cidade Universitária,649,168,535,99,150,41,70,3,0
2015,Capital,26611,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Cidade Universitária,640,170,534,78,151,60,44,2,0
2016,Capital,26611,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Cidade Universitária,661,153,536,95,145,76,47,2,0
2017,Capital,26611,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Cidade Universitária,678,198,565,82,157,68,44,1,0
2018,Capital,26611,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Cidade Universitária,722,167,585,95,167,80,51,6,0
2014,Capital,29106,CIÊNCIAS BIOLÓGICAS - BIOLOGIA VEGETAL,Bacharelado,Graduação Presencial,Cidade Universitária,26,7,18,4,3,1,7,0,0
2015,Capital,29106,CIÊNCIAS BIOLÓGICAS - BIOLOGIA VEGETAL,Bacharelado,Graduação Presencial,Cidade Universitária,18,7,16,4,0,1,1,0,0
2016,Capital,29106,CIÊNCIAS BIOLÓGICAS - BIOLOGIA VEGETAL,Bacharelado,Graduação Presencial,Cidade Universitária,19,5,18,7,2,1,0,0,0
2017,Capital,29106,CIÊNCIAS BIOLÓGICAS - BIOLOGIA VEGETAL,Bacharelado,Graduação Presencial,Cidade Universitária,20,11,19,4,3,0,1,0,0
2018,Capital,29106,CIÊNCIAS BIOLÓGICAS - BIOLOGIA VEGETAL,Bacharelado,Graduação Presencial,Cidade Universitária,19,1,16,6,1,2,0,1,0
2014,Capital,31957,CIÊNCIAS BIOLÓGICAS - ECOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,102,2,88,30,2,5,8,1,0
2015,Capital,31957,CIÊNCIAS BIOLÓGICAS - ECOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,85,0,74,37,0,3,8,0,0
2016,Capital,31957,CIÊNCIAS BIOLÓGICAS - ECOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,70,5,62,24,4,6,1,0,1
2017,Capital,31957,CIÊNCIAS BIOLÓGICAS - ECOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,60,2,57,30,1,2,1,0,0
2018,Capital,31957,CIÊNCIAS BIOLÓGICAS - ECOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,53,1,50,20,1,2,1,0,0
2014,Capital,31958,CIÊNCIAS BIOLÓGICAS - ZOOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,60,6,50,17,1,4,6,0,0
2015,Capital,31958,CIÊNCIAS BIOLÓGICAS - ZOOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,50,1,40,11,1,4,5,1,0
2016,Capital,31958,CIÊNCIAS BIOLÓGICAS - ZOOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,44,5,30,15,5,13,1,0,0
2017,Capital,31958,CIÊNCIAS BIOLÓGICAS - ZOOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,40,7,34,7,4,4,2,0,0
2018,Capital,31958,CIÊNCIAS BIOLÓGICAS - ZOOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,36,1,32,12,0,2,2,0,0
2014,Capital,31959,CIÊNCIAS BIOLÓGICAS - GENÉTICA,Bacharelado,Graduação Presencial,Cidade Universitária,64,4,56,10,2,2,5,1,0
2015,Capital,31959,CIÊNCIAS BIOLÓGICAS - GENÉTICA,Bacharelado,Graduação Presencial,Cidade Universitária,64,7,58,19,0,2,4,0,0
2016,Capital,31959,CIÊNCIAS BIOLÓGICAS - GENÉTICA,Bacharelado,Graduação Presencial,Cidade Universitária,68,5,64,17,0,3,1,0,0
2017,Capital,31959,CIÊNCIAS BIOLÓGICAS - GENÉTICA,Bacharelado,Graduação Presencial,Cidade Universitária,63,2,57,24,2,3,2,1,0
2018,Capital,31959,CIÊNCIAS BIOLÓGICAS - GENÉTICA,Bacharelado,Graduação Presencial,Cidade Universitária,52,0,47,18,0,4,1,0,0
2014,Capital,44892,EDUCAÇÃO FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,1082,223,804,111,192,80,196,2,0
2015,Capital,44892,EDUCAÇÃO FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,1013,196,777,108,182,171,65,0,0
2016,Capital,44892,EDUCAÇÃO FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,1031,189,721,109,185,245,63,2,0
2017,Capital,44892,EDUCAÇÃO FÍSICA,Bacharelado,Graduação Presencial,Cidade Universitária,1088,245,840,93,214,173,74,1,0
