   ,  ,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,14346,FILOSOFIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,243,18,163,21,17,42,36,2,0
2015,Capital,14346,FILOSOFIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,199,52,129,15,9,53,15,2,0
2016,Capital,14346,FILOSOFIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,187,0,120,20,0,35,29,3,0
2017,Capital,14346,FILOSOFIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,179,2,139,23,2,18,22,0,0
2018,Capital,14346,FILOSOFIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,168,1,134,22,0,21,13,0,0
2014,Capital,14348,CIÊNCIAS SOCIAIS,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,297,85,192,42,74,45,57,3,0
2015,Capital,14348,CIÊNCIAS SOCIAIS,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,275,67,182,22,65,55,37,1,0
2016,Capital,14348,CIÊNCIAS SOCIAIS,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,285,70,176,18,67,73,36,0,0
2017,Capital,14348,CIÊNCIAS SOCIAIS,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,309,73,211,35,68,59,38,1,0
2018,Capital,14348,CIÊNCIAS SOCIAIS,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,309,90,200,20,71,52,55,2,0
2014,Capital,14349,PEDAGOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,828,216,635,98,163,68,124,1,0
2015,Capital,14349,PEDAGOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,805,180,607,57,159,134,63,1,0
2016,Capital,14349,PEDAGOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,838,163,579,67,150,183,75,1,0
2017,Capital,14349,PEDAGOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,867,179,656,67,161,135,76,0,0
2018,Capital,14349,PEDAGOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,895,203,689,55,169,111,93,2,0
2014,Capital,14356,PSICOLOGIA,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.021,221,888,220,225,67,65,1,0
2015,Capital,14356,PSICOLOGIA,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.052,233,870,236,235,112,66,3,1
2016,Capital,14356,PSICOLOGIA,Bacharelado,Graduação Presencial,PRAIA VERMELHA,990,181,833,206,179,111,45,1,0
2017,Capital,14356,PSICOLOGIA,Bacharelado,Graduação Presencial,PRAIA VERMELHA,988,187,830,141,202,84,72,2,0
2018,Capital,14356,PSICOLOGIA,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.011,212,847,142,213,95,67,2,0
2014,Capital,14357,COMUNICAÇÃO SOCIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.123,0,2,2,0,0,11,1.110,0
2014,Capital,14358,SERVIÇO SOCIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.112,264,881,115,192,104,125,2,0
2015,Capital,14358,SERVIÇO SOCIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,1.091,217,870,126,191,143,74,4,0
