CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,14333,ARQUITETURA E URBANISMO,Bacharelado,Graduação Presencial,Cidade Universitária,1658,265,1457,157,257,82,114,5,0
2015,Capital,14333,ARQUITETURA E URBANISMO,Bacharelado,Graduação Presencial,Cidade Universitária,1654,254,1427,130,251,123,99,5,0
2016,Capital,14333,ARQUITETURA E URBANISMO,Bacharelado,Graduação Presencial,Cidade Universitária,1666,258,1441,173,246,171,49,5,0
2017,Capital,14333,ARQUITETURA E URBANISMO,Bacharelado,Graduação Presencial,Cidade Universitária,1688,240,1467,210,239,144,74,3,0
2018,Capital,14333,ARQUITETURA E URBANISMO,Bacharelado,Graduação Presencial,Cidade Universitária,1674,271,1439,176,269,135,95,5,0
2014,Capital,14337,COMPOSIÇÃO DE INTERIOR,Bacharelado,Graduação Presencial,Cidade Universitária,197,32,161,26,30,16,20,0,0
2015,Capital,14337,COMPOSIÇÃO DE INTERIOR,Bacharelado,Graduação Presencial,Cidade Universitária,187,31,152,19,31,24,7,4,0
2016,Capital,14337,COMPOSIÇÃO DE INTERIOR,Bacharelado,Graduação Presencial,Cidade Universitária,195,30,139,24,28,36,13,7,0
2017,Capital,14337,COMPOSIÇÃO DE INTERIOR,Bacharelado,Graduação Presencial,Cidade Universitária,187,30,142,12,30,24,21,0,0
2018,Capital,14337,COMPOSIÇÃO DE INTERIOR,Bacharelado,Graduação Presencial,Cidade Universitária,190,36,143,12,35,20,17,10,0
2014,Capital,14338,COMPOSIÇÃO PAISAGÍSTICA,Bacharelado,Graduação Presencial,Cidade Universitária,92,21,70,15,19,10,11,1,0
2015,Capital,14338,COMPOSIÇÃO PAISAGÍSTICA,Bacharelado,Graduação Presencial,Cidade Universitária,90,23,71,7,21,12,5,2,0
2016,Capital,14338,COMPOSIÇÃO PAISAGÍSTICA,Bacharelado,Graduação Presencial,Cidade Universitária,100,24,70,4,24,18,8,4,0
2017,Capital,14338,COMPOSIÇÃO PAISAGÍSTICA,Bacharelado,Graduação Presencial,Cidade Universitária,106,20,78,12,20,21,7,0,0
2018,Capital,14338,COMPOSIÇÃO PAISAGÍSTICA,Bacharelado,Graduação Presencial,Cidade Universitária,114,32,79,15,27,14,14,7,0
2014,Capital,14339,PINTURA,Bacharelado,Graduação Presencial,Cidade Universitária,243,71,170,30,37,47,25,1,0
2015,Capital,14339,PINTURA,Bacharelado,Graduação Presencial,Cidade Universitária,245,75,173,18,44,47,24,1,0
2016,Capital,14339,PINTURA,Bacharelado,Graduação Presencial,Cidade Universitária,261,59,168,10,52,62,30,1,0
2017,Capital,14339,PINTURA,Bacharelado,Graduação Presencial,Cidade Universitária,282,52,220,22,51,38,24,0,0
2018,Capital,14339,PINTURA,Bacharelado,Graduação Presencial,Cidade Universitária,302,71,228,13,60,42,29,3,0
2014,Capital,14340,GRAVURA,Bacharelado,Graduação Presencial,Cidade Universitária,101,30,73,7,12,14,13,1,0
2015,Capital,14340,GRAVURA,Bacharelado,Graduação Presencial,Cidade Universitária,95,33,69,12,11,18,7,1,0
2016,Capital,14340,GRAVURA,Bacharelado,Graduação Presencial,Cidade Universitária,104,39,66,15,22,29,7,2,0
2017,Capital,14340,GRAVURA,Bacharelado,Graduação Presencial,Cidade Universitária,106,25,72,10,24,21,13,0,0
2018,Capital,14340,GRAVURA,Bacharelado,Graduação Presencial,Cidade Universitária,117,49,88,7,33,14,14,1,0
2014,Capital,23967,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,0,1,0,0,1,3,0,0
2015,Capital,23967,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,2,0,0,0,0,2,0,0,0
2016,Capital,23967,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,2,0,0,0,0,0,0,2,0
2017,Capital,23967,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,1,0,0,0,0,0,0,1,0
2014,Capital,23969,EDUCAÇÃO ARTÍSTICA - DESENHO,Licenciatura,Graduação Presencial,Cidade Universitária,112,39,68,8,10,7,20,17,0
2015,Capital,23969,EDUCAÇÃO ARTÍSTICA - DESENHO,Licenciatura,Graduação Presencial,Cidade Universitária,105,43,82,14,37,12,8,3,0
2016,Capital,23969,EDUCAÇÃO ARTÍSTICA - DESENHO,Licenciatura,Graduação Presencial,Cidade Universitária,122,40,81,11,38,21,12,8,0
2017,Capital,23969,EDUCAÇÃO ARTÍSTICA - DESENHO,Licenciatura,Graduação Presencial,Cidade Universitária,132,39,92,6,39,16,17,7,0
2018,Capital,23969,EDUCAÇÃO ARTÍSTICA - DESENHO,Licenciatura,Graduação Presencial,Cidade Universitária,145,61,93,3,43,18,25,9,0
2014,Capital,30273,EDUCAÇÃO ARTÍSTICA COM HABILITAÇÃO EM ARTES PLÁSTICAS,Licenciatura,Graduação Presencial,Cidade Universitária,292,63,235,46,53,15,38,4,0
2015,Capital,30273,EDUCAÇÃO ARTÍSTICA COM HABILITAÇÃO EM ARTES PLÁSTICAS,Licenciatura,Graduação Presencial,Cidade Universitária,266,62,218,58,51,33,13,2,0
2016,Capital,30273,EDUCAÇÃO ARTÍSTICA COM HABILITAÇÃO EM ARTES PLÁSTICAS,Licenciatura,Graduação Presencial,Cidade Universitária,246,47,175,33,47,53,14,4,0
2017,Capital,30273,EDUCAÇÃO ARTÍSTICA COM HABILITAÇÃO EM ARTES PLÁSTICAS,Licenciatura,Graduação Presencial,Cidade Universitária,249,50,194,36,49,35,20,0,0
2018,Capital,30273,EDUCAÇÃO ARTÍSTICA - ARTES PLÁSTICAS,Licenciatura,Graduação Presencial,Cidade Universitária,249,57,189,25,56,32,23,5,0
2014,Capital,33821,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,56,17,34,4,7,11,11,0,0
2015,Capital,33821,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,52,16,35,4,8,11,6,0,0
2016,Capital,33821,MÚSICA - COMPOSIÇÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,52,16,37,7,9,8,7,0,0
2017,Capital,33821,MÚSICA - COMPOSIÇÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,51,18,38,8,10,7,5,1,0
2018,Capital,33821,MÚSICA - COMPOSIÇÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,46,21,38,3,6,5,3,0,0
2014,Capital,33825,DESENHO INDUSTRIAL,Bacharelado,Graduação Presencial,Cidade Universitária,342,64,266,40,58,38,34,4,0
2015,Capital,33825,DESENHO INDUSTRIAL,Bacharelado,Graduação Presencial,Cidade Universitária,339,54,263,20,51,59,15,2,0
2016,Capital,33825,DESENHO INDUSTRIAL,Bacharelado,Graduação Presencial,Cidade Universitária,362,53,259,31,52,76,26,1,0
2017,Capital,33825,DESENHO INDUSTRIAL,Bacharelado,Graduação Presencial,Cidade Universitária,357,50,285,32,50,48,24,0,0
2018,Capital,33825,DESENHO INDUSTRIAL - PROJETO DE PRODUTO,Bacharelado,Graduação Presencial,Cidade Universitária,355,61,287,42,52,39,26,3,0
2014,Capital,35558,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,56,14,39,5,9,10,7,0,0
2015,Capital,35558,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,61,12,45,4,12,8,7,1,0
2016,Capital,35558,MÚSICA - CANTO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,59,10,46,9,8,10,2,1,0
2017,Capital,35558,MÚSICA - CANTO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,59,9,51,10,8,4,4,0,0
2018,Capital,35558,MÚSICA - CANTO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,55,11,47,6,9,6,2,0,0
2014,Capital,45127,MÚSICA - TROMPETE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,24,3,20,4,3,3,1,0,0
2015,Capital,45127,MÚSICA - TROMPETE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,23,6,17,3,2,3,2,1,0
2016,Capital,45127,MÚSICA - TROMPETE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,21,6,18,3,4,3,0,0,0
2017,Capital,45127,MÚSICA - TROMPETE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,18,3,16,6,0,2,0,0,0
2018,Capital,45127,MÚSICA - TROMPETE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,13,7,10,2,1,1,2,0,0
2014,Capital,45128,MÚSICA - HARPA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,8,4,1,1,1,0,0,0
2015,Capital,45128,MÚSICA - HARPA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,11,4,0,1,1,0,0,0
2016,Capital,45128,MÚSICA - HARPA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,7,7,5,0,2,1,0,1,0
2017,Capital,45128,MÚSICA - HARPA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,8,10,7,1,2,1,0,0,0
2018,Capital,45128,MÚSICA - HARPA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,7,12,5,1,0,1,1,0,0
2014,Capital,45132,MÚSICA - TROMBONE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,11,10,7,1,2,3,1,0,0
2015,Capital,45132,MÚSICA - TROMBONE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,10,11,6,0,1,4,0,0,0
