   ,  ,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,14350,ENGENHARIA ELÉTRICA,Bacharelado,Graduação Presencial,Cidade Universitária,603,116,522,45,106,33,39,8,1
2015,Capital,14350,ENGENHARIA ELÉTRICA,Bacharelado,Graduação Presencial,Cidade Universitária,619,106,529,41,101,56,31,3,0
2016,Capital,14350,ENGENHARIA ELÉTRICA,Bacharelado,Graduação Presencial,Cidade Universitária,639,93,523,45,92,76,37,3,0
2017,Capital,14350,ENGENHARIA ELÉTRICA,Bacharelado,Graduação Presencial,Cidade Universitária,653,100,555,54,96,56,36,6,0
2018,Capital,14350,ENGENHARIA ELÉTRICA,Bacharelado,Graduação Presencial,Cidade Universitária,659,114,546,56,100,60,51,2,0
2014,Capital,14351,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Cidade Universitária,1.019,155,921,151,154,37,57,4,0
2015,Capital,14351,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Cidade Universitária,977,155,872,266,156,58,42,5,0
2016,Capital,14351,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Cidade Universitária,971,140,854,227,138,74,39,4,0
2017,Capital,14351,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Cidade Universitária,940,134,832,152,145,56,47,4,1
2018,Capital,14351,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Cidade Universitária,971,167,843,183,166,68,52,8,0
2014,Capital,14352,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,538,92,495,81,89,17,26,0,0
2015,Capital,14352,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,538,92,494,159,93,31,12,1,0
2016,Capital,14352,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,542,88,470,148,86,54,17,1,0
2017,Capital,14352,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,510,90,430,64,95,46,32,2,0
2018,Capital,14352,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,550,112,480,84,114,40,27,3,0
2014,Capital,14353,ENGENHARIA METALÚRGICA,Bacharelado,Graduação Presencial,Cidade Universitária,210,62,166,23,40,6,34,4,0
2015,Capital,14353,ENGENHARIA METALÚRGICA,Bacharelado,Graduação Presencial,Cidade Universitária,197,57,145,16,42,26,22,4,0
2016,Capital,14353,ENGENHARIA METALÚRGICA,Bacharelado,Graduação Presencial,Cidade Universitária,199,56,138,18,44,46,14,1,0
2017,Capital,14353,ENGENHARIA METALÚRGICA,Bacharelado,Graduação Presencial,Cidade Universitária,205,51,133,15,39,31,39,2,0
2018,Capital,14353,ENGENHARIA METALÚRGICA,Bacharelado,Graduação Presencial,Cidade Universitária,196,94,124,21,45,30,39,3,0
2014,Capital,14354,ENGENHARIA NAVAL E OCEÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,553,84,488,67,82,25,38,2,0
2015,Capital,14354,ENGENHARIA NAVAL E OCEÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,546,78,480,32,76,34,29,3,0
2016,Capital,14354,ENGENHARIA NAVAL E OCEÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,554,73,439,41,70,66,46,3,0
2017,Capital,14354,ENGENHARIA NAVAL E OCEÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,546,89,459,60,77,54,30,3,0
2018,Capital,14354,ENGENHARIA NAVAL E OCEÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,542,100,430,41,87,52,53,7,0
2014,Capital,14355,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,898,138,807,142,136,35,52,4,0
2015,Capital,14355,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,844,132,759,72,132,50,29,6,0
2016,Capital,14355,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,874,135,716,79,134,120,35,3,0
2017,Capital,14355,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,892,130,767,86,134,78,45,2,0
2018,Capital,14355,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Cidade Universitária,901,148,755,87,143,67,74,5,0
2014,Capital,14367,ENGENHARIA QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,1.045,244,953,99,196,36,49,7,0
2015,Capital,14367,ENGENHARIA QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,1.085,187,984,97,185,64,36,1,0
2016,Capital,14367,ENGENHARIA QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,1.133,186,982,97,181,107,42,2,0
2017,Capital,14367,ENGENHARIA QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,1.191,202,1.045,125,195,84,56,6,0
2018,Capital,14367,ENGENHARIA QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,1.201,210,1.037,104,200,92,67,5,0
2014,Capital,14368,ENGENHARIA DE MATERIAIS,Bacharelado,Graduação Presencial,Cidade Universitária,223,61,191,28,45,11,18,3,0
2015,Capital,14368,ENGENHARIA DE MATERIAIS,Bacharelado,Graduação Presencial,Cidade Universitária,222,46,167,21,44,28,25,2,0
2016,Capital,14368,ENGENHARIA DE MATERIAIS,Bacharelado,Graduação Presencial,Cidade Universitária,217,51,146,20,42,41,27,3,0
