CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,99287,CIÊNCIAS BIOLÓGICAS,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,230,60,174,4,40,14,27,15,0
2015,Capital,99287,CIÊNCIAS BIOLÓGICAS,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,231,54,178,55,41,22,12,19,0
2016,Capital,99287,CIÊNCIAS BIOLÓGICAS,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,200,55,153,22,54,33,13,1,0
2017,Capital,99287,CIÊNCIAS BIOLÓGICAS,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,206,53,168,20,41,13,23,2,0
2018,Capital,99287,CIÊNCIAS BIOLÓGICAS,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,202,53,173,12,41,12,16,1,0
2014,Capital,120922,FARMÁCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,351,135,281,37,86,34,32,4,0
2015,Capital,120922,FARMÁCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,386,155,301,46,97,46,39,0,0
2016,Capital,120922,FARMÁCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,404,107,306,46,98,48,50,0,0
2017,Capital,120922,FARMÁCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,412,157,327,37,101,37,43,4,1
2018,Capital,120922,FARMÁCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,430,138,348,33,102,47,31,4,0
2014,Capital,120924,QUÍMICA,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,115,33,65,6,26,7,40,3,0
2015,Capital,120924,QUÍMICA,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,94,30,53,7,25,25,15,1,0
2016,Capital,120924,QUÍMICA,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,97,37,49,7,25,30,17,1,0
2017,Capital,120924,QUÍMICA,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,99,70,43,2,26,17,36,3,0
2018,Capital,120924,QUÍMICA,Licenciatura,Graduação Presencial,Campus UFRJ - Macaé,83,68,53,3,25,16,14,0,0
2014,Capital,121848,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,227,101,188,11,73,10,28,1,0
2015,Capital,121848,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,262,121,207,9,76,23,31,1,0
2016,Capital,121848,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,299,90,245,26,78,35,13,6,0
2017,Capital,121848,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,339,109,274,11,82,31,31,3,0
2018,Capital,121848,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,374,112,314,26,80,27,25,8,0
2014,Capital,121850,MEDICINA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,254,65,219,0,62,6,24,5,0
2015,Capital,121850,MEDICINA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,289,61,253,52,61,18,18,0,0
2016,Capital,121850,MEDICINA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,316,99,289,33,97,20,7,0,0
2017,Capital,121850,MEDICINA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,342,64,314,37,63,11,16,1,0
2018,Capital,121850,MEDICINA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,381,91,345,20,91,15,14,6,1
2014,Capital,121852,NUTRIÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,245,116,211,13,78,6,27,1,0
2015,Capital,121852,NUTRIÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,288,102,228,17,78,23,36,1,0
2016,Capital,121852,NUTRIÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,310,93,269,14,77,33,7,1,0
2017,Capital,121852,NUTRIÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,371,95,308,29,82,29,31,3,0
2018,Capital,121852,NUTRIÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,388,94,334,38,80,29,23,2,0
2014,Capital,1125889,QUÍMICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,98,53,73,0,32,7,16,2,0
2015,Capital,1125889,QUÍMICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,105,29,77,3,25,16,11,1,0
2016,Capital,1125889,QUÍMICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,114,27,83,5,22,16,15,0,0
2017,Capital,1125889,QUÍMICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,126,40,107,5,30,9,10,0,0
2018,Capital,1125889,QUÍMICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,139,39,118,14,28,11,9,1,0
2014,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,48,67,44,0,48,2,2,0,0
2015,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,101,59,80,0,55,11,10,0,0
2016,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,129,46,95,1,38,10,9,15,0
2017,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,147,60,125,2,41,9,10,3,0
2018,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,173,58,151,5,40,10,11,1,0
