Ano,Pessoal e Encargos Sociais,Outras Despesas Correntes,Investimentos
1989,"2081401391,69433","237575837,484284","24934479,9754092"
1990,"1374552573,49493","155306539,153234","39062403,849228"
1991,"998222486,962674","125671569,7802","23008219,7584371"
1992,"882196001,779656","169323218,671182","33548389,474143"
1993,"1206581312,1182","290810835,857023","50546734,2707445"
1994,"1686828115,4295","376831418,365858","71481958,8603417"
1995,"2177788384,3658","271715158,036829","41535135,5832268"
1996,"1810394125,7655","279265973,561532","32324944,0903114"
1997,"1771257087,56109","235125993,367244","11978641,3620668"
1998,"1763460054,63913","197076773,218645","3697853,37293834"
1999,"1943219728,75945","195607982,468646","3789498,64286742"
2000,"1863265379,55658","189829122,184653","4197625,03188174"
2001,"1822187705,88861","172542967,356054","5633526,41225086"
2002,"1970570205,11899","184841979,52543","3908557,44014686"
2003,"2025148827,03339","196208293,312291","5910388,97949696"
2004,"2197159115,39093","190976574,929489","8994787,18541765"
2005,"2119603226,50244","216220265,442593","571680,378277011"
2006,"2629631369,06189","258572839,086539","996814,795649186"
2007,"2542656755,87789","288643581,119609","8035075,52259986"
2008,"2626372176,40925","276341393,122557","12303743,6223098"
2009,"2362701948,87343","326419179,115127","36084420,6112828"
2010,"2493882705,27553","413191630,316374","46447883,4390793"
2011,"2563741689,86923","540069052,210031","148043896,263825"
2012,"2538163931,56459","625121558,225625","96768515,9886278"
2013,"2695601211,83068","627867240,903931","97872804,4652125"
2014,"2890083214,70486","561521315,493582","54883731,9441518"
2015,"2846980491,67411","516664011,53709","17227611,5695718"
2016,"2813648952,05974","566962964,040264","11862045,1071523"
2017,"2932692483,43437","538881690,455417","6499127,54270671"
2018,"2898701421,96653","504712562,691655","8582361,42699861"
2019,"2909292447,03285","450855174,241472","3259006,20811798"
